編號,轄區分局,行政區,設置位置,拍攝行向,速限
42,第五分局,北區,"中華北路和和緯路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,60
43,第四分局,安平區,"安平區永華路二段和建平路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,50
44,第一分局,東區,"東區林森路和崇善路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,50
45,第一分局,東區,"東區東門路和崇學路口
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,50
46,歸仁分局,仁德區,"中山路與中正路三段路口
【未依標誌標線行駛、未停讓行人等】",多向,50
47,永康分局,永康區,"崑大路與大灣路口
【超速、未依標誌標線行駛、未停讓行人等】",多向,50
48,永康分局,永康區,"中正北路與王行路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛等】",雙向,70
49,善化分局,新市區,"樹谷大道與紫楝路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛等】",雙向,60
50,善化分局,善化區,"中正路66巷與建國路78巷口
【行經閃紅號誌路口未停車再開等】",多向,50
51,第二分局,中西區,"西門路與民權路口
【未依標誌標線行駛、未停讓行人等】",多向,50
52,第六分局,南區,"金華路與大成路口
【未依標誌標線行駛、未停讓行人等】",多向,50
53,第五分局,北區,"東豐路與長榮路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
54,第五分局,北區,"公園路與和緯路
【未依標誌標線行駛、不停讓行人等】",多向,50
55,第五分局,北區,"小東路與勝利路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
56,第五分局,北區,"西門路與北安路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
57,永康分局,永康區,"復興路與高速一街二段口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
58,永康分局,永康區,"中正北路與永安路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
59,永康分局,永康區,"永安路與仁愛街口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
60,永康分局,永康區,"中正南(北)路與中正路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
61,第六分局,南區,"大成路與國民路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
62,第六分局,南區,"金華路與健康路口
【未依標誌標線行駛、不停讓行人等】",多向,50
63,第六分局,南區,"中華西路與新興路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,60
64,第三分局,安南區,"長和路與永安橋路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
65,第三分局,安南區,"北安路與怡安路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
66,第三分局,安南區,"怡安路與長溪路口
【闖紅燈、超速等】",多向,50
67,第一分局,東區,"東門路與自由路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,60
68,第一分局,東區,"大同路與國民路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,60
